date;city;confirmed;deaths
29/10/2020;Angra dos Reis;6224;200
28/10/2020;Angra dos Reis;6182;200
27/10/2020;Angra dos Reis;6164;198
26/10/2020;Angra dos Reis;6162;198
25/10/2020;Angra dos Reis;6063;198
24/10/2020;Angra dos Reis;6063;198
23/10/2020;Angra dos Reis;6000;197
22/10/2020;Angra dos Reis;5971;197
21/10/2020;Angra dos Reis;5962;197
20/10/2020;Angra dos Reis;5952;197
19/10/2020;Angra dos Reis;5919;197
18/10/2020;Angra dos Reis;5919;197
17/10/2020;Angra dos Reis;5894;197
16/10/2020;Angra dos Reis;5891;194
15/10/2020;Angra dos Reis;5858;194
14/10/2020;Angra dos Reis;5843;194
13/10/2020;Angra dos Reis;5832;192
12/10/2020;Angra dos Reis;5832;192
11/10/2020;Angra dos Reis;5832;192
10/10/2020;Angra dos Reis;5832;192
09/10/2020;Angra dos Reis;5773;192
08/10/2020;Angra dos Reis;5750;192
07/10/2020;Angra dos Reis;5674;190
06/10/2020;Angra dos Reis;5641;190
05/10/2020;Angra dos Reis;5634;190
03/10/2020;Angra dos Reis;5633;190
02/10/2020;Angra dos Reis;5618;186
01/10/2020;Angra dos Reis;5567;186
30/09/2020;Angra dos Reis;5516;183
29/09/2020;Angra dos Reis;5512;182
28/09/2020;Angra dos Reis;5512;182
27/09/2020;Angra dos Reis;5512;182
26/09/2020;Angra dos Reis;5512;182
25/09/2020;Angra dos Reis;5509;179
24/09/2020;Angra dos Reis;5482;177
22/09/2020;Angra dos Reis;5383;177
21/09/2020;Angra dos Reis;5379;177
20/09/2020;Angra dos Reis;5376;174
19/09/2020;Angra dos Reis;5376;174
18/09/2020;Angra dos Reis;5327;172
17/09/2020;Angra dos Reis;5296;171
16/09/2020;Angra dos Reis;5296;171
15/09/2020;Angra dos Reis;5270;168
14/09/2020;Angra dos Reis;5235;168
13/09/2020;Angra dos Reis;5235;168
12/09/2020;Angra dos Reis;5065;168
11/09/2020;Angra dos Reis;5065;168
10/09/2020;Angra dos Reis;4906;166
09/09/2020;Angra dos Reis;4905;165
08/09/2020;Angra dos Reis;4901;161
07/09/2020;Angra dos Reis;4901;161
06/09/2020;Angra dos Reis;4899;161
05/09/2020;Angra dos Reis;4899;161
04/09/2020;Angra dos Reis;4897;159
03/09/2020;Angra dos Reis;4864;157
02/09/2020;Angra dos Reis;4860;155
01/09/2020;Angra dos Reis;4857;153
31/08/2020;Angra dos Reis;4822;151
30/08/2020;Angra dos Reis;4818;151
29/08/2020;Angra dos Reis;4811;151
27/08/2020;Angra dos Reis;4693;147
26/08/2020;Angra dos Reis;4658;144
25/08/2020;Angra dos Reis;4653;144
24/08/2020;Angra dos Reis;4599;144
23/08/2020;Angra dos Reis;4599;144
22/08/2020;Angra dos Reis;4599;144
21/08/2020;Angra dos Reis;4464;143
20/08/2020;Angra dos Reis;4461;141
19/08/2020;Angra dos Reis;4411;137
18/08/2020;Angra dos Reis;4379;137
17/08/2020;Angra dos Reis;4287;131
16/08/2020;Angra dos Reis;4287;131
15/08/2020;Angra dos Reis;4199;131
14/08/2020;Angra dos Reis;4199;131
13/08/2020;Angra dos Reis;4195;127
12/08/2020;Angra dos Reis;4142;127
11/08/2020;Angra dos Reis;4119;127
10/08/2020;Angra dos Reis;4114;124
09/08/2020;Angra dos Reis;4077;124
08/08/2020;Angra dos Reis;4077;124
07/08/2020;Angra dos Reis;3983;119
06/08/2020;Angra dos Reis;3976;119
05/08/2020;Angra dos Reis;3941;120
04/08/2020;Angra dos Reis;3836;117
03/08/2020;Angra dos Reis;3823;115
02/08/2020;Angra dos Reis;3822;115
01/08/2020;Angra dos Reis;3822;115
31/07/2020;Angra dos Reis;3817;115
30/07/2020;Angra dos Reis;3791;115
29/07/2020;Angra dos Reis;3738;115
28/07/2020;Angra dos Reis;3686;115
27/07/2020;Angra dos Reis;3678;111
26/07/2020;Angra dos Reis;3647;111
25/07/2020;Angra dos Reis;3647;111
24/07/2020;Angra dos Reis;3524;109
23/07/2020;Angra dos Reis;3406;105
22/07/2020;Angra dos Reis;3239;105
21/07/2020;Angra dos Reis;3108;102
20/07/2020;Angra dos Reis;2602;99
19/07/2020;Angra dos Reis;2570;97
17/07/2020;Angra dos Reis;2522;95
16/07/2020;Angra dos Reis;2547;95
15/07/2020;Angra dos Reis;2545;93
14/07/2020;Angra dos Reis;2473;92
13/07/2020;Angra dos Reis;2469;91
12/07/2020;Angra dos Reis;2434;91
11/07/2020;Angra dos Reis;2434;91
10/07/2020;Angra dos Reis;2434;90
09/07/2020;Angra dos Reis;2427;89
08/07/2020;Angra dos Reis;2393;87
07/07/2020;Angra dos Reis;2351;87
06/07/2020;Angra dos Reis;2321;87
05/07/2020;Angra dos Reis;2320;87
04/07/2020;Angra dos Reis;2316;87
03/07/2020;Angra dos Reis;2308;87
02/07/2020;Angra dos Reis;2261;86
01/07/2020;Angra dos Reis;2232;85
30/06/2020;Angra dos Reis;2195;83
29/06/2020;Angra dos Reis;2185;79
28/06/2020;Angra dos Reis;2183;79
27/06/2020;Angra dos Reis;2108;79
26/06/2020;Angra dos Reis;2100;78
25/06/2020;Angra dos Reis;1980;76
24/06/2020;Angra dos Reis;1935;76
23/06/2020;Angra dos Reis;1908;75
22/06/2020;Angra dos Reis;1864;72
21/06/2020;Angra dos Reis;1845;68
20/06/2020;Angra dos Reis;1844;68
19/06/2020;Angra dos Reis;1833;68
18/06/2020;Angra dos Reis;1698;68
17/06/2020;Angra dos Reis;1696;65
16/06/2020;Angra dos Reis;1574;61
15/06/2020;Angra dos Reis;1492;58
14/06/2020;Angra dos Reis;1475;56
13/06/2020;Angra dos Reis;1469;56
12/06/2020;Angra dos Reis;1422;55
11/06/2020;Angra dos Reis;1361;52
10/06/2020;Angra dos Reis;1306;51
09/06/2020;Angra dos Reis;1301;49
08/06/2020;Angra dos Reis;1195;45
07/06/2020;Angra dos Reis;1195;45
06/06/2020;Angra dos Reis;1102;45
05/06/2020;Angra dos Reis;1081;41
04/06/2020;Angra dos Reis;1080;42
03/06/2020;Angra dos Reis;1057;40
02/06/2020;Angra dos Reis;1054;38
01/06/2020;Angra dos Reis;894;36
31/05/2020;Angra dos Reis;891;34
30/05/2020;Angra dos Reis;889;34
29/05/2020;Angra dos Reis;685;30
28/05/2020;Angra dos Reis;661;30
27/05/2020;Angra dos Reis;652;28
26/05/2020;Angra dos Reis;630;25
25/05/2020;Angra dos Reis;644;23
24/05/2020;Angra dos Reis;629;19
23/05/2020;Angra dos Reis;404;19
22/05/2020;Angra dos Reis;404;19
21/05/2020;Angra dos Reis;404;19
20/05/2020;Angra dos Reis;404;18
19/05/2020;Angra dos Reis;403;16
18/05/2020;Angra dos Reis;403;16
17/05/2020;Angra dos Reis;365;15
16/05/2020;Angra dos Reis;365;15
15/05/2020;Angra dos Reis;138;14
14/05/2020;Angra dos Reis;136;12
13/05/2020;Angra dos Reis;131;10
12/05/2020;Angra dos Reis;131;10
11/05/2020;Angra dos Reis;127;7
10/05/2020;Angra dos Reis;120;7
09/05/2020;Angra dos Reis;118;6
08/05/2020;Angra dos Reis;111;3
07/05/2020;Angra dos Reis;68;3
06/05/2020;Angra dos Reis;58;0
05/05/2020;Angra dos Reis;58;0
04/05/2020;Angra dos Reis;56;0
03/05/2020;Angra dos Reis;56;0
02/05/2020;Angra dos Reis;53;0
01/05/2020;Angra dos Reis;48;0
30/04/2020;Angra dos Reis;47;0
29/04/2020;Angra dos Reis;39;0
28/04/2020;Angra dos Reis;39;0
27/04/2020;Angra dos Reis;11;0
26/04/2020;Angra dos Reis;11;0
25/04/2020;Angra dos Reis;11;0
24/04/2020;Angra dos Reis;11;0
23/04/2020;Angra dos Reis;11;0
22/04/2020;Angra dos Reis;9;0
21/04/2020;Angra dos Reis;8;0
20/04/2020;Angra dos Reis;8;0
19/04/2020;Angra dos Reis;8;0
18/04/2020;Angra dos Reis;8;0
17/04/2020;Angra dos Reis;8;0
16/04/2020;Angra dos Reis;8;0
15/04/2020;Angra dos Reis;8;0
14/04/2020;Angra dos Reis;8;0
13/04/2020;Angra dos Reis;8;0
12/04/2020;Angra dos Reis;5;0
11/04/2020;Angra dos Reis;4;0
10/04/2020;Angra dos Reis;4;0
09/04/2020;Angra dos Reis;4;0
08/04/2020;Angra dos Reis;4;0
07/04/2020;Angra dos Reis;4;0
06/04/2020;Angra dos Reis;3;0
05/04/2020;Angra dos Reis;3;0
04/04/2020;Angra dos Reis;2;0
03/04/2020;Angra dos Reis;1;0
02/04/2020;Angra dos Reis;1;0
01/04/2020;Angra dos Reis;1;0
31/03/2020;Angra dos Reis;1;0
30/03/2020;Angra dos Reis;1;0
29/10/2020;Aperibé;205;7
28/10/2020;Aperibé;205;7
27/10/2020;Aperibé;205;7
26/10/2020;Aperibé;205;7
25/10/2020;Aperibé;198;7
24/10/2020;Aperibé;198;7
23/10/2020;Aperibé;198;7
22/10/2020;Aperibé;198;7
21/10/2020;Aperibé;198;7
20/10/2020;Aperibé;198;7
19/10/2020;Aperibé;198;7
18/10/2020;Aperibé;198;7
17/10/2020;Aperibé;198;7
16/10/2020;Aperibé;198;7
15/10/2020;Aperibé;196;7
14/10/2020;Aperibé;195;7
13/10/2020;Aperibé;195;7
12/10/2020;Aperibé;195;7
11/10/2020;Aperibé;195;7
10/10/2020;Aperibé;195;7
09/10/2020;Aperibé;195;7
08/10/2020;Aperibé;194;7
07/10/2020;Aperibé;193;7
06/10/2020;Aperibé;193;7
05/10/2020;Aperibé;190;7
03/10/2020;Aperibé;190;7
02/10/2020;Aperibé;190;7
01/10/2020;Aperibé;189;7
30/09/2020;Aperibé;188;7
29/09/2020;Aperibé;191;7
28/09/2020;Aperibé;191;7
27/09/2020;Aperibé;191;7
26/09/2020;Aperibé;191;7
25/09/2020;Aperibé;191;7
24/09/2020;Aperibé;191;7
22/09/2020;Aperibé;191;7
21/09/2020;Aperibé;191;7
20/09/2020;Aperibé;191;7
19/09/2020;Aperibé;191;7
18/09/2020;Aperibé;189;7
17/09/2020;Aperibé;188;7
16/09/2020;Aperibé;188;7
15/09/2020;Aperibé;188;7
14/09/2020;Aperibé;187;7
13/09/2020;Aperibé;187;7
12/09/2020;Aperibé;184;7
11/09/2020;Aperibé;183;6
10/09/2020;Aperibé;169;6
09/09/2020;Aperibé;169;6
08/09/2020;Aperibé;169;6
07/09/2020;Aperibé;169;6
06/09/2020;Aperibé;169;6
05/09/2020;Aperibé;169;6
04/09/2020;Aperibé;169;6
03/09/2020;Aperibé;169;6
02/09/2020;Aperibé;169;6
01/09/2020;Aperibé;169;6
31/08/2020;Aperibé;167;6
30/08/2020;Aperibé;167;6
29/08/2020;Aperibé;167;6
27/08/2020;Aperibé;167;6
26/08/2020;Aperibé;167;6
25/08/2020;Aperibé;167;6
24/08/2020;Aperibé;167;6
23/08/2020;Aperibé;167;6
22/08/2020;Aperibé;167;6
21/08/2020;Aperibé;167;6
20/08/2020;Aperibé;167;6
19/08/2020;Aperibé;167;6
18/08/2020;Aperibé;167;6
17/08/2020;Aperibé;167;6
16/08/2020;Aperibé;167;6
15/08/2020;Aperibé;167;6
14/08/2020;Aperibé;167;6
13/08/2020;Aperibé;167;6
12/08/2020;Aperibé;166;6
11/08/2020;Aperibé;165;6
10/08/2020;Aperibé;153;6
09/08/2020;Aperibé;151;6
08/08/2020;Aperibé;151;6
07/08/2020;Aperibé;151;6
06/08/2020;Aperibé;151;6
05/08/2020;Aperibé;151;6
04/08/2020;Aperibé;144;6
03/08/2020;Aperibé;143;5
02/08/2020;Aperibé;143;5
01/08/2020;Aperibé;143;5
31/07/2020;Aperibé;141;5
30/07/2020;Aperibé;141;5
29/07/2020;Aperibé;141;5
28/07/2020;Aperibé;135;5
27/07/2020;Aperibé;131;5
26/07/2020;Aperibé;131;5
25/07/2020;Aperibé;131;5
24/07/2020;Aperibé;119;4
23/07/2020;Aperibé;118;4
22/07/2020;Aperibé;112;4
21/07/2020;Aperibé;110;3
20/07/2020;Aperibé;119;3
19/07/2020;Aperibé;113;3
17/07/2020;Aperibé;103;3
16/07/2020;Aperibé;107;3
15/07/2020;Aperibé;107;3
14/07/2020;Aperibé;102;3
13/07/2020;Aperibé;102;3
12/07/2020;Aperibé;98;3
11/07/2020;Aperibé;98;3
10/07/2020;Aperibé;97;2
09/07/2020;Aperibé;97;2
08/07/2020;Aperibé;96;2
07/07/2020;Aperibé;94;2
06/07/2020;Aperibé;94;2
05/07/2020;Aperibé;94;2
04/07/2020;Aperibé;92;2
03/07/2020;Aperibé;90;2
02/07/2020;Aperibé;90;2
01/07/2020;Aperibé;90;2
30/06/2020;Aperibé;82;2
29/06/2020;Aperibé;81;1
28/06/2020;Aperibé;81;1
27/06/2020;Aperibé;75;1
26/06/2020;Aperibé;75;1
25/06/2020;Aperibé;71;1
24/06/2020;Aperibé;69;1
23/06/2020;Aperibé;69;1
22/06/2020;Aperibé;63;0
21/06/2020;Aperibé;62;0
20/06/2020;Aperibé;62;0
19/06/2020;Aperibé;60;0
18/06/2020;Aperibé;49;0
17/06/2020;Aperibé;49;0
16/06/2020;Aperibé;40;0
15/06/2020;Aperibé;42;0
14/06/2020;Aperibé;38;0
13/06/2020;Aperibé;37;0
12/06/2020;Aperibé;41;0
11/06/2020;Aperibé;34;0
10/06/2020;Aperibé;29;0
09/06/2020;Aperibé;28;0
08/06/2020;Aperibé;19;0
07/06/2020;Aperibé;19;0
06/06/2020;Aperibé;18;0
05/06/2020;Aperibé;18;0
04/06/2020;Aperibé;17;0
03/06/2020;Aperibé;16;0
02/06/2020;Aperibé;14;0
01/06/2020;Aperibé;15;0
31/05/2020;Aperibé;15;0
30/05/2020;Aperibé;15;0
29/05/2020;Aperibé;10;0
28/05/2020;Aperibé;10;0
27/05/2020;Aperibé;12;0
26/05/2020;Aperibé;12;0
25/05/2020;Aperibé;12;0
24/05/2020;Aperibé;12;0
23/05/2020;Aperibé;9;0
22/05/2020;Aperibé;9;0
21/05/2020;Aperibé;9;0
20/05/2020;Aperibé;9;0
19/05/2020;Aperibé;9;0
18/05/2020;Aperibé;9;0
17/05/2020;Aperibé;9;0
16/05/2020;Aperibé;9;0
15/05/2020;Aperibé;6;0
14/05/2020;Aperibé;6;0
13/05/2020;Aperibé;6;0
12/05/2020;Aperibé;6;0
11/05/2020;Aperibé;6;0
10/05/2020;Aperibé;6;0
09/05/2020;Aperibé;3;0
08/05/2020;Aperibé;4;0
07/05/2020;Aperibé;3;0
06/05/2020;Aperibé;3;0
05/05/2020;Aperibé;3;0
04/05/2020;Aperibé;3;0
03/05/2020;Aperibé;2;0
02/05/2020;Aperibé;2;0
01/05/2020;Aperibé;2;0
30/04/2020;Aperibé;2;0
29/04/2020;Aperibé;2;0
28/04/2020;Aperibé;2;0
27/04/2020;Aperibé;2;0
26/04/2020;Aperibé;2;0
25/04/2020;Aperibé;2;0
24/04/2020;Aperibé;1;0
23/04/2020;Aperibé;1;0
29/10/2020;Araruama;1736;70
28/10/2020;Araruama;1724;70
27/10/2020;Araruama;1720;69
26/10/2020;Araruama;1714;69
25/10/2020;Araruama;1669;69
24/10/2020;Araruama;1669;69
23/10/2020;Araruama;1667;69
22/10/2020;Araruama;1666;69
21/10/2020;Araruama;1659;68
20/10/2020;Araruama;1642;68
19/10/2020;Araruama;1635;68
18/10/2020;Araruama;1635;68
17/10/2020;Araruama;1623;68
16/10/2020;Araruama;1623;68
15/10/2020;Araruama;1609;67
14/10/2020;Araruama;1592;67
13/10/2020;Araruama;1589;67
12/10/2020;Araruama;1589;67
11/10/2020;Araruama;1589;67
10/10/2020;Araruama;1589;67
09/10/2020;Araruama;1574;67
08/10/2020;Araruama;1568;67
07/10/2020;Araruama;1550;67
06/10/2020;Araruama;1521;67
05/10/2020;Araruama;1517;67
03/10/2020;Araruama;1516;66
02/10/2020;Araruama;1514;65
01/10/2020;Araruama;1510;65
30/09/2020;Araruama;1475;65
29/09/2020;Araruama;1445;65
28/09/2020;Araruama;1416;65
27/09/2020;Araruama;1416;65
26/09/2020;Araruama;1416;65
25/09/2020;Araruama;1416;65
24/09/2020;Araruama;1371;63
22/09/2020;Araruama;1284;63
21/09/2020;Araruama;1274;63
20/09/2020;Araruama;1274;63
19/09/2020;Araruama;1274;63
18/09/2020;Araruama;1262;63
17/09/2020;Araruama;1244;63
16/09/2020;Araruama;1244;63
15/09/2020;Araruama;1239;62
14/09/2020;Araruama;1230;61
13/09/2020;Araruama;1230;61
12/09/2020;Araruama;1216;61
11/09/2020;Araruama;1216;61
10/09/2020;Araruama;1175;61
09/09/2020;Araruama;1175;61
08/09/2020;Araruama;1175;61
07/09/2020;Araruama;1175;61
06/09/2020;Araruama;1175;61
05/09/2020;Araruama;1175;61
04/09/2020;Araruama;1175;61
03/09/2020;Araruama;1171;61
02/09/2020;Araruama;1146;61
01/09/2020;Araruama;1125;60
31/08/2020;Araruama;1097;59
30/08/2020;Araruama;1093;59
29/08/2020;Araruama;1093;59
27/08/2020;Araruama;1071;55
26/08/2020;Araruama;1008;55
25/08/2020;Araruama;970;52
24/08/2020;Araruama;960;51
23/08/2020;Araruama;960;51
22/08/2020;Araruama;959;51
21/08/2020;Araruama;921;51
20/08/2020;Araruama;921;51
19/08/2020;Araruama;902;49
18/08/2020;Araruama;893;49
17/08/2020;Araruama;855;48
16/08/2020;Araruama;854;48
15/08/2020;Araruama;835;48
14/08/2020;Araruama;835;48
13/08/2020;Araruama;834;48
12/08/2020;Araruama;814;48
11/08/2020;Araruama;802;47
10/08/2020;Araruama;788;47
09/08/2020;Araruama;780;46
08/08/2020;Araruama;750;46
07/08/2020;Araruama;715;46
06/08/2020;Araruama;704;45
05/08/2020;Araruama;684;43
04/08/2020;Araruama;652;43
03/08/2020;Araruama;651;42
02/08/2020;Araruama;651;42
01/08/2020;Araruama;651;42
31/07/2020;Araruama;618;42
30/07/2020;Araruama;606;42
29/07/2020;Araruama;564;42
28/07/2020;Araruama;543;41
27/07/2020;Araruama;540;41
26/07/2020;Araruama;540;41
25/07/2020;Araruama;540;41
24/07/2020;Araruama;524;41
23/07/2020;Araruama;509;41
22/07/2020;Araruama;479;41
21/07/2020;Araruama;473;41
20/07/2020;Araruama;429;40
19/07/2020;Araruama;425;40
17/07/2020;Araruama;427;39
16/07/2020;Araruama;424;39
15/07/2020;Araruama;424;39
14/07/2020;Araruama;421;39
13/07/2020;Araruama;420;39
12/07/2020;Araruama;407;39
11/07/2020;Araruama;407;39
10/07/2020;Araruama;397;37
09/07/2020;Araruama;395;36
08/07/2020;Araruama;389;36
07/07/2020;Araruama;381;36
06/07/2020;Araruama;370;36
05/07/2020;Araruama;367;36
04/07/2020;Araruama;367;36
03/07/2020;Araruama;365;36
02/07/2020;Araruama;344;35
01/07/2020;Araruama;341;35
30/06/2020;Araruama;337;35
29/06/2020;Araruama;337;35
28/06/2020;Araruama;336;35
27/06/2020;Araruama;327;35
26/06/2020;Araruama;326;35
25/06/2020;Araruama;317;35
24/06/2020;Araruama;308;34
23/06/2020;Araruama;303;34
22/06/2020;Araruama;297;30
21/06/2020;Araruama;294;30
20/06/2020;Araruama;294;30
19/06/2020;Araruama;290;29
18/06/2020;Araruama;272;29
17/06/2020;Araruama;272;29
16/06/2020;Araruama;263;29
15/06/2020;Araruama;257;29
14/06/2020;Araruama;257;29
13/06/2020;Araruama;257;29
12/06/2020;Araruama;256;29
11/06/2020;Araruama;246;29
10/06/2020;Araruama;242;29
09/06/2020;Araruama;238;28
08/06/2020;Araruama;219;28
07/06/2020;Araruama;219;28
06/06/2020;Araruama;163;29
05/06/2020;Araruama;160;28
04/06/2020;Araruama;157;28
03/06/2020;Araruama;156;28
02/06/2020;Araruama;164;28
01/06/2020;Araruama;164;28
31/05/2020;Araruama;164;28
30/05/2020;Araruama;164;28
29/05/2020;Araruama;109;26
28/05/2020;Araruama;107;25
27/05/2020;Araruama;99;19
26/05/2020;Araruama;95;15
25/05/2020;Araruama;85;3
24/05/2020;Araruama;82;3
23/05/2020;Araruama;82;3
22/05/2020;Araruama;82;3
21/05/2020;Araruama;82;3
20/05/2020;Araruama;82;3
19/05/2020;Araruama;82;3
18/05/2020;Araruama;82;3
17/05/2020;Araruama;71;3
16/05/2020;Araruama;70;2
15/05/2020;Araruama;69;2
14/05/2020;Araruama;69;2
13/05/2020;Araruama;61;2
12/05/2020;Araruama;61;2
11/05/2020;Araruama;53;2
10/05/2020;Araruama;43;2
09/05/2020;Araruama;50;2
08/05/2020;Araruama;41;2
07/05/2020;Araruama;43;2
06/05/2020;Araruama;34;1
05/05/2020;Araruama;33;1
04/05/2020;Araruama;33;1
03/05/2020;Araruama;33;1
02/05/2020;Araruama;33;1
01/05/2020;Araruama;33;1
30/04/2020;Araruama;31;1
29/04/2020;Araruama;31;1
28/04/2020;Araruama;29;1
27/04/2020;Araruama;30;1
26/04/2020;Araruama;30;1
25/04/2020;Araruama;19;1
24/04/2020;Araruama;19;1
23/04/2020;Araruama;19;1
22/04/2020;Araruama;19;1
21/04/2020;Araruama;19;1
20/04/2020;Araruama;19;1
19/04/2020;Araruama;18;1
18/04/2020;Araruama;12;1
17/04/2020;Araruama;11;1
16/04/2020;Araruama;10;1
15/04/2020;Araruama;10;1
14/04/2020;Araruama;6;0
13/04/2020;Araruama;3;0
12/04/2020;Araruama;3;0
11/04/2020;Araruama;3;0
10/04/2020;Araruama;3;0
09/04/2020;Araruama;3;0
08/04/2020;Araruama;1;0
07/04/2020;Araruama;1;0
06/04/2020;Araruama;1;0
05/04/2020;Araruama;1;0
04/04/2020;Araruama;1;0
03/04/2020;Araruama;1;0
29/10/2020;Areal;277;9
28/10/2020;Areal;277;9
27/10/2020;Areal;277;9
26/10/2020;Areal;259;9
25/10/2020;Areal;256;9
24/10/2020;Areal;256;9
23/10/2020;Areal;251;9
22/10/2020;Areal;250;9
21/10/2020;Areal;250;9
20/10/2020;Areal;250;9
19/10/2020;Areal;244;8
18/10/2020;Areal;244;8
17/10/2020;Areal;239;8
16/10/2020;Areal;239;8
15/10/2020;Areal;238;8
14/10/2020;Areal;238;8
13/10/2020;Areal;234;8
12/10/2020;Areal;234;8
11/10/2020;Areal;231;8
10/10/2020;Areal;231;8
09/10/2020;Areal;231;8
08/10/2020;Areal;231;8
07/10/2020;Areal;228;8
06/10/2020;Areal;226;8
05/10/2020;Areal;219;8
03/10/2020;Areal;219;8
02/10/2020;Areal;219;8
01/10/2020;Areal;219;8
30/09/2020;Areal;219;8
29/09/2020;Areal;221;8
28/09/2020;Areal;221;8
27/09/2020;Areal;221;8
26/09/2020;Areal;221;8
25/09/2020;Areal;221;8
24/09/2020;Areal;209;8
22/09/2020;Areal;208;8
21/09/2020;Areal;191;8
20/09/2020;Areal;191;8
19/09/2020;Areal;190;8
18/09/2020;Areal;190;8
17/09/2020;Areal;186;8
16/09/2020;Areal;186;8
15/09/2020;Areal;182;8
14/09/2020;Areal;182;8
13/09/2020;Areal;182;8
12/09/2020;Areal;178;8
11/09/2020;Areal;177;7
10/09/2020;Areal;176;7
09/09/2020;Areal;176;7
08/09/2020;Areal;176;7
07/09/2020;Areal;176;7
06/09/2020;Areal;176;7
05/09/2020;Areal;176;7
04/09/2020;Areal;176;7
03/09/2020;Areal;174;7
02/09/2020;Areal;169;7
01/09/2020;Areal;168;6
31/08/2020;Areal;164;5
30/08/2020;Areal;164;5
29/08/2020;Areal;164;5
27/08/2020;Areal;161;5
26/08/2020;Areal;161;5
25/08/2020;Areal;158;5
24/08/2020;Areal;156;5
23/08/2020;Areal;156;5
22/08/2020;Areal;156;5
21/08/2020;Areal;150;5
20/08/2020;Areal;150;5
19/08/2020;Areal;149;5
18/08/2020;Areal;147;4
17/08/2020;Areal;140;4
16/08/2020;Areal;139;4
15/08/2020;Areal;139;4
14/08/2020;Areal;139;4
13/08/2020;Areal;138;3
12/08/2020;Areal;138;3
11/08/2020;Areal;138;3
10/08/2020;Areal;138;3
09/08/2020;Areal;128;3
08/08/2020;Areal;128;3
07/08/2020;Areal;125;3
06/08/2020;Areal;125;3
05/08/2020;Areal;125;3
04/08/2020;Areal;123;3
03/08/2020;Areal;123;3
02/08/2020;Areal;123;3
01/08/2020;Areal;123;3
31/07/2020;Areal;119;3
30/07/2020;Areal;119;3
29/07/2020;Areal;119;3
28/07/2020;Areal;119;3
27/07/2020;Areal;119;3
26/07/2020;Areal;119;3
25/07/2020;Areal;119;3
24/07/2020;Areal;117;2
23/07/2020;Areal;113;2
22/07/2020;Areal;113;2
21/07/2020;Areal;113;2
20/07/2020;Areal;109;2
19/07/2020;Areal;108;2
17/07/2020;Areal;107;2
16/07/2020;Areal;102;2
15/07/2020;Areal;102;2
14/07/2020;Areal;99;1
13/07/2020;Areal;99;1
12/07/2020;Areal;99;1
11/07/2020;Areal;99;1
10/07/2020;Areal;99;1
09/07/2020;Areal;99;1
08/07/2020;Areal;98;1
07/07/2020;Areal;98;1
06/07/2020;Areal;98;1
05/07/2020;Areal;98;1
04/07/2020;Areal;98;1
03/07/2020;Areal;98;1
02/07/2020;Areal;94;1
01/07/2020;Areal;94;1
30/06/2020;Areal;94;1
29/06/2020;Areal;94;1
28/06/2020;Areal;94;1
27/06/2020;Areal;88;1
26/06/2020;Areal;88;1
25/06/2020;Areal;88;1
24/06/2020;Areal;83;1
23/06/2020;Areal;82;1
22/06/2020;Areal;82;1
21/06/2020;Areal;82;1
20/06/2020;Areal;66;1
19/06/2020;Areal;65;1
18/06/2020;Areal;65;1
17/06/2020;Areal;65;1
16/06/2020;Areal;63;1
15/06/2020;Areal;60;1
14/06/2020;Areal;60;1
13/06/2020;Areal;53;1
12/06/2020;Areal;54;1
11/06/2020;Areal;54;1
10/06/2020;Areal;53;1
09/06/2020;Areal;52;1
08/06/2020;Areal;51;1
07/06/2020;Areal;50;1
06/06/2020;Areal;17;0
05/06/2020;Areal;17;0
04/06/2020;Areal;16;0
03/06/2020;Areal;16;0
02/06/2020;Areal;13;0
01/06/2020;Areal;14;0
31/05/2020;Areal;14;0
30/05/2020;Areal;14;0
29/05/2020;Areal;14;0
28/05/2020;Areal;14;0
27/05/2020;Areal;14;0
26/05/2020;Areal;14;0
25/05/2020;Areal;14;0
24/05/2020;Areal;16;0
23/05/2020;Areal;10;0
22/05/2020;Areal;10;0
21/05/2020;Areal;10;0
20/05/2020;Areal;10;0
19/05/2020;Areal;10;0
18/05/2020;Areal;10;0
17/05/2020;Areal;7;0
16/05/2020;Areal;7;0
15/05/2020;Areal;7;0
14/05/2020;Areal;7;0
13/05/2020;Areal;7;0
12/05/2020;Areal;7;0
11/05/2020;Areal;7;0
10/05/2020;Areal;6;0
09/05/2020;Areal;5;0
08/05/2020;Areal;5;0
07/05/2020;Areal;3;0
06/05/2020;Areal;3;0
05/05/2020;Areal;3;0
04/05/2020;Areal;3;0
03/05/2020;Areal;3;0
02/05/2020;Areal;3;0
01/05/2020;Areal;3;0
30/04/2020;Areal;3;0
29/04/2020;Areal;3;0
28/04/2020;Areal;3;0
27/04/2020;Areal;2;0
26/04/2020;Areal;2;0
25/04/2020;Areal;1;0
24/04/2020;Areal;1;0
23/04/2020;Areal;1;0
22/04/2020;Areal;1;0
21/04/2020;Areal;1;0
20/04/2020;Areal;1;0
19/04/2020;Areal;1;0
18/04/2020;Areal;1;0
17/04/2020;Areal;1;0
16/04/2020;Areal;1;0
15/04/2020;Areal;1;0
29/10/2020;Armação dos Búzios;577;16
28/10/2020;Armação dos Búzios;575;16
27/10/2020;Armação dos Búzios;566;16
26/10/2020;Armação dos Búzios;566;16
25/10/2020;Armação dos Búzios;554;16
24/10/2020;Armação dos Búzios;554;16
23/10/2020;Armação dos Búzios;552;16
22/10/2020;Armação dos Búzios;552;16
21/10/2020;Armação dos Búzios;548;16
20/10/2020;Armação dos Búzios;540;16
